,Date,Away_Team,Home_Team,Weather_Temp,Weather_Type
0,Sun 09/11/16 01:00 PM,Minnesota Vikings,Tennessee Titans,77.0, Clear
1,Sun 12/04/16 01:00 PM,Philadelphia Eagles,Cincinnati Bengals,41.0, Mostly Cloudy
2,Sun 12/18/16 01:00 PM,Cleveland Browns,Buffalo Bills,25.0, Mostly Cloudy
3,Mon 12/26/16 08:30 PM,Detroit Lions,Dallas Cowboys,65.0, Mostly Cloudy
4,Sun 09/18/16 01:00 PM,Tennessee Titans,Detroit Lions,,DOME
5,Thu 09/01/16 07:00 PM,New York Jets,Philadelphia Eagles,78.0, Partly Cloudy
6,Sun 12/25/16 04:30 PM,Baltimore Ravens,Pittsburgh Steelers,39.0, Partly Cloudy
7,Sat 12/24/16 01:00 PM,Miami Dolphins,Buffalo Bills,35.0, Overcast
8,Sun 09/25/16 04:05 PM,Los Angeles Rams,Tampa Bay Buccaneers,89.0, Partly Cloudy
9,Sun 10/30/16 01:00 PM,New England Patriots,Buffalo Bills,50.0, Drizzle
10,Sat 12/17/16 08:25 PM,Miami Dolphins,New York Jets,34.0, Mostly Cloudy
11,Sun 09/25/16 01:00 PM,Oakland Raiders,Tennessee Titans,89.0, Clear
12,Mon 09/26/16 08:30 PM,Atlanta Falcons,New Orleans Saints,,DOME
13,Sun 11/27/16 01:00 PM,Cincinnati Bengals,Baltimore Ravens,49.0, Clear
14,Sun 10/16/16 04:25 PM,Dallas Cowboys,Green Bay Packers,67.0, Clear
15,Sat 08/13/16 07:00 PM,Indianapolis Colts,Buffalo Bills,73.0, Drizzle
16,Sun 12/04/16 01:00 PM,Kansas City Chiefs,Atlanta Falcons,,DOME
17,Sun 01/15/17 08:20 PM,Pittsburgh Steelers,Kansas City Chiefs,34.0, Overcast
18,Thu 08/25/16 08:00 PM,Atlanta Falcons,Miami Dolphins,82.0, Clear
19,Sun 10/16/16 01:00 PM,Pittsburgh Steelers,Miami Dolphins,82.0, Partly Cloudy
20,Sun 10/09/16 01:00 PM,New England Patriots,Cleveland Browns,57.0, Partly Cloudy
21,Thu 09/01/16 07:30 PM,Indianapolis Colts,Cincinnati Bengals,73.0, Partly Cloudy
22,Fri 08/19/16 07:30 PM,New York Jets,Washington Redskins,83.0, Clear
23,Sun 11/13/16 01:00 PM,Houston Texans,Jacksonville Jaguars,71.0, Partly Cloudy
24,Sun 11/20/16 01:00 PM,Chicago Bears,New York Giants,40.0, Mostly Cloudy
25,Sun 10/16/16 04:05 PM,Kansas City Chiefs,Oakland Raiders,61.0, Light Rain
26,Thu 12/15/16 08:25 PM,Los Angeles Rams,Seattle Seahawks,35.0, Mostly Cloudy
27,Sun 01/22/17 06:40 PM,Pittsburgh Steelers,New England Patriots,40.0, Overcast
28,Sun 11/06/16 04:25 PM,Indianapolis Colts,Green Bay Packers,67.0, Clear
29,Sun 09/11/16 01:00 PM,Oakland Raiders,New Orleans Saints,,DOME
30,Sun 09/25/16 01:00 PM,Cleveland Browns,Miami Dolphins,85.0, Partly Cloudy
31,Sun 12/11/16 08:30 PM,Dallas Cowboys,New York Giants,30.0, Mostly Cloudy
32,Sun 01/15/17 04:40 PM,Green Bay Packers,Dallas Cowboys,54.0, Partly Cloudy
33,Sun 12/18/16 08:30 PM,Tampa Bay Buccaneers,Dallas Cowboys,26.0, Clear
34,Thu 11/03/16 08:25 PM,Atlanta Falcons,Tampa Bay Buccaneers,75.0, Partly Cloudy
35,Sun 10/02/16 08:30 PM,Kansas City Chiefs,Pittsburgh Steelers,60.0, Rain
36,Sun 10/23/16 01:00 PM,Oakland Raiders,Jacksonville Jaguars,72.0, Clear
37,Sun 10/09/16 08:30 PM,New York Giants,Green Bay Packers,48.0, Clear
38,Mon 09/12/16 10:20 PM,Los Angeles Rams,San Francisco 49ers,60.0, Clear
39,Sun 09/18/16 04:05 PM,Seattle Seahawks,Los Angeles Rams,85.0, Clear
40,Mon 09/19/16 08:30 PM,Philadelphia Eagles,Chicago Bears,80.0, Clear
41,Sun 11/13/16 04:25 PM,Dallas Cowboys,Pittsburgh Steelers,54.0, Clear
42,Fri 08/12/16 07:00 PM,Detroit Lions,Pittsburgh Steelers,83.0, Partly Cloudy
43,Sun 12/11/16 01:00 PM,Minnesota Vikings,Jacksonville Jaguars,66.0, Clear
44,Sun 12/18/16 04:05 PM,New Orleans Saints,Arizona Cardinals,,DOME
45,Mon 10/17/16 08:30 PM,New York Jets,Arizona Cardinals,,DOME
46,Sun 11/27/16 01:00 PM,San Francisco 49ers,Miami Dolphins,79.0, Clear
47,Thu 08/18/16 08:00 PM,Chicago Bears,New England Patriots,78.0, Clear
48,Sun 10/02/16 01:00 PM,Seattle Seahawks,New York Jets,61.0, Overcast
49,Sun 01/29/17 08:00 PM,- AFC,- NFC,53.0, Mostly Cloudy
50,Sun 09/25/16 01:00 PM,Minnesota Vikings,Carolina Panthers,84.0, Mostly Cloudy
51,Sun 11/13/16 01:00 PM,Los Angeles Rams,New York Jets,55.0, Clear
52,Sun 10/02/16 01:00 PM,Oakland Raiders,Baltimore Ravens,67.0, Mostly Cloudy
53,Thu 10/27/16 08:25 PM,Jacksonville Jaguars,Tennessee Titans,66.0, Clear
54,Sat 12/24/16 04:25 PM,Arizona Cardinals,Seattle Seahawks,39.0, Mostly Cloudy
55,Sun 01/01/17 01:00 PM,Chicago Bears,Minnesota Vikings,,DOME
56,Thu 09/01/16 07:30 PM,Buffalo Bills,Detroit Lions,,DOME
57,Sun 10/02/16 01:00 PM,Detroit Lions,Chicago Bears,64.0, Mostly Cloudy
58,Sun 08/07/16 08:00 PM,Green Bay Packers,Indianapolis Colts,77.0, Clear
59,Mon 12/05/16 08:30 PM,Indianapolis Colts,New York Jets,43.0, Clear
60,Sat 12/24/16 01:00 PM,New York Jets,New England Patriots,40.0, Light Rain
61,Sun 11/20/16 01:00 PM,Jacksonville Jaguars,Detroit Lions,,DOME
62,Sat 08/20/16 07:30 PM,Tampa Bay Buccaneers,Jacksonville Jaguars,91.0, Clear
63,Sun 10/16/16 01:00 PM,San Francisco 49ers,Buffalo Bills,72.0, Mostly Cloudy
64,Fri 08/12/16 07:00 PM,Miami Dolphins,New York Giants,85.0, Rain
65,Sun 09/11/16 01:00 PM,Chicago Bears,Houston Texans,87.0, Clear
66,Sun 11/20/16 01:00 PM,Tennessee Titans,Indianapolis Colts,,DOME
67,Fri 08/19/16 09:00 PM,Arizona Cardinals,Los Angeles Chargers,75.0, Clear
68,Thu 09/01/16 08:00 PM,Baltimore Ravens,New Orleans Saints,,DOME
69,Sun 08/14/16 07:00 PM,Houston Texans,San Francisco 49ers,81.0, Clear
70,Sun 12/11/16 01:00 PM,Washington Redskins,Philadelphia Eagles,33.0, Mostly Cloudy
71,Sat 12/24/16 08:25 PM,Cincinnati Bengals,Houston Texans,72.0, Partly Cloudy
72,Sun 12/04/16 04:05 PM,Buffalo Bills,Oakland Raiders,55.0, Clear
73,Sun 01/01/17 01:00 PM,Dallas Cowboys,Philadelphia Eagles,48.0, Partly Cloudy
74,Sun 12/18/16 01:00 PM,Pittsburgh Steelers,Cincinnati Bengals,26.0, Mostly Cloudy
75,Sat 12/24/16 04:25 PM,San Francisco 49ers,Los Angeles Rams,55.0, Clear
76,Sat 01/14/17 08:15 PM,Houston Texans,New England Patriots,28.0, Partly Cloudy
77,Sun 10/16/16 08:30 PM,Indianapolis Colts,Houston Texans,80.0, Clear
78,Sun 09/11/16 01:00 PM,Tampa Bay Buccaneers,Atlanta Falcons,,DOME
79,Thu 09/01/16 08:00 PM,Green Bay Packers,Kansas City Chiefs,74.0, Clear
80,Sun 12/04/16 01:00 PM,Los Angeles Rams,New England Patriots,37.0, Partly Cloudy
81,Sun 11/06/16 08:30 PM,Denver Broncos,Oakland Raiders,67.0, Partly Cloudy
82,Sun 11/06/16 01:00 PM,Dallas Cowboys,Cleveland Browns,56.0, Clear
83,Thu 12/01/16 08:25 PM,Dallas Cowboys,Minnesota Vikings,,DOME
84,Sun 11/27/16 04:25 PM,New England Patriots,New York Jets,48.0, Partly Cloudy
85,Thu 11/17/16 08:25 PM,New Orleans Saints,Carolina Panthers,57.0, Clear
86,Sun 12/04/16 01:00 PM,Denver Broncos,Jacksonville Jaguars,75.0, Partly Cloudy
87,Thu 11/10/16 08:25 PM,Cleveland Browns,Baltimore Ravens,52.0, Clear
88,Sun 10/16/16 04:25 PM,Atlanta Falcons,Seattle Seahawks,54.0, Mostly Cloudy
89,Sun 12/18/16 01:00 PM,Jacksonville Jaguars,Houston Texans,37.0, Mostly Cloudy
90,Mon 11/07/16 08:30 PM,Buffalo Bills,Seattle Seahawks,60.0, Mostly Cloudy
91,Sun 12/11/16 01:00 PM,Houston Texans,Indianapolis Colts,,DOME
92,Sun 10/16/16 01:00 PM,Baltimore Ravens,New York Giants,66.0, Mostly Cloudy
93,Mon 12/12/16 08:30 PM,Baltimore Ravens,New England Patriots,33.0, Clear
