,Date,Away_Team,Home_Team,Weather_Temp,Weather_Type
94,Thu 09/08/16 08:30 PM,Carolina Panthers,Denver Broncos,82.0, Clear
95,Thu 09/22/16 08:25 PM,Houston Texans,New England Patriots,68.0, Clear
96,Sun 11/06/16 04:25 PM,Tennessee Titans,Los Angeles Chargers,74.0, Clear
97,Sat 01/07/17 08:15 PM,Detroit Lions,Seattle Seahawks,37.0, Overcast
98,Mon 10/31/16 08:30 PM,Minnesota Vikings,Chicago Bears,57.0, Drizzle
99,Sat 01/07/17 04:35 PM,Oakland Raiders,Houston Texans,40.0, Clear
100,Sun 09/11/16 04:25 PM,New York Giants,Dallas Cowboys,87.0, Clear
101,Sun 01/01/17 04:25 PM,Kansas City Chiefs,Los Angeles Chargers,56.0, Partly Cloudy
102,Sun 08/28/16 04:00 PM,Arizona Cardinals,Houston Texans,85.0, Mostly Cloudy
103,Sun 01/01/17 01:00 PM,Buffalo Bills,New York Jets,45.0, Clear
104,Sun 11/13/16 01:00 PM,Green Bay Packers,Tennessee Titans,55.0, Clear
105,Sun 10/23/16 01:00 PM,Buffalo Bills,Miami Dolphins,80.0, Partly Cloudy
106,Sun 12/04/16 04:25 PM,Tampa Bay Buccaneers,Los Angeles Chargers,71.0, Clear
107,Sun 10/23/16 09:30 AM,New York Giants,Los Angeles Rams,54.0, Partly Cloudy
108,Sun 11/06/16 01:00 PM,Pittsburgh Steelers,Baltimore Ravens,63.0, Mostly Cloudy
109,Sun 11/27/16 01:00 PM,Los Angeles Rams,New Orleans Saints,,DOME
110,Sun 10/16/16 01:00 PM,Carolina Panthers,New Orleans Saints,,DOME
111,Sun 12/18/16 04:05 PM,San Francisco 49ers,Atlanta Falcons,,DOME
112,Sun 01/01/17 04:25 PM,New York Giants,Washington Redskins,52.0, Clear
113,Fri 08/26/16 10:00 PM,Green Bay Packers,San Francisco 49ers,69.0, Clear
114,Fri 08/12/16 07:30 PM,Minnesota Vikings,Cincinnati Bengals,86.0, Partly Cloudy
115,Thu 09/01/16 10:00 PM,Seattle Seahawks,Oakland Raiders,61.0, Mostly Cloudy
116,Sun 10/09/16 01:00 PM,Philadelphia Eagles,Detroit Lions,,DOME
117,Sat 08/13/16 08:00 PM,Dallas Cowboys,Los Angeles Rams,78.0, Clear
118,Sun 12/18/16 01:00 PM,Philadelphia Eagles,Baltimore Ravens,58.0, Light Rain
119,Sun 09/18/16 04:25 PM,Indianapolis Colts,Denver Broncos,86.0, Clear
120,Sun 09/11/16 01:00 PM,Green Bay Packers,Jacksonville Jaguars,91.0, Partly Cloudy
121,Sun 09/25/16 01:00 PM,Arizona Cardinals,Buffalo Bills,62.0, Clear
122,Sun 09/18/16 08:30 PM,Green Bay Packers,Minnesota Vikings,,DOME
123,Sat 08/13/16 08:00 PM,Los Angeles Chargers,Tennessee Titans,82.0, Rain
124,Sun 10/02/16 01:00 PM,Cleveland Browns,Washington Redskins,70.0, Mostly Cloudy
125,Thu 08/18/16 07:00 PM,Philadelphia Eagles,Pittsburgh Steelers,81.0, Clear
126,Sun 12/11/16 01:00 PM,New Orleans Saints,Tampa Bay Buccaneers,75.0, Partly Cloudy
127,Sun 11/06/16 01:00 PM,Jacksonville Jaguars,Kansas City Chiefs,60.0, Clear
128,Sun 01/01/17 01:00 PM,Baltimore Ravens,Cincinnati Bengals,38.0, Foggy
129,Sat 12/24/16 01:00 PM,Tampa Bay Buccaneers,New Orleans Saints,,DOME
130,Sun 10/02/16 01:00 PM,Carolina Panthers,Atlanta Falcons,,DOME
131,Fri 08/26/16 08:00 PM,Cleveland Browns,Tampa Bay Buccaneers,80.0, Mostly Cloudy
132,Sun 11/06/16 04:05 PM,Carolina Panthers,Los Angeles Rams,72.0, Clear
133,Sun 11/13/16 04:25 PM,San Francisco 49ers,Arizona Cardinals,,DOME
134,Sun 12/11/16 01:00 PM,Denver Broncos,Tennessee Titans,48.0, Partly Cloudy
135,Sat 01/14/17 04:35 PM,Seattle Seahawks,Atlanta Falcons,,DOME
136,Sun 11/13/16 04:05 PM,Miami Dolphins,Los Angeles Chargers,84.0, Clear
137,Thu 08/11/16 07:00 PM,Washington Redskins,Atlanta Falcons,,DOME
138,Sun 09/18/16 01:00 PM,New Orleans Saints,New York Giants,79.0, Partly Cloudy
139,Fri 08/26/16 07:30 PM,Buffalo Bills,Washington Redskins,86.0, Clear
140,Sun 11/20/16 01:00 PM,Baltimore Ravens,Dallas Cowboys,53.0, Clear
141,Mon 09/12/16 07:10 PM,Pittsburgh Steelers,Washington Redskins,76.0, Clear
142,Sun 12/11/16 01:00 PM,Chicago Bears,Detroit Lions,,DOME
143,Sat 08/20/16 03:00 PM,Carolina Panthers,Tennessee Titans,81.0, Humid and Partly Cloudy
144,Sun 10/30/16 01:00 PM,Seattle Seahawks,New Orleans Saints,,DOME
145,Thu 08/11/16 08:00 PM,Denver Broncos,Chicago Bears,86.0, Clear
146,Sun 11/13/16 01:00 PM,Minnesota Vikings,Washington Redskins,55.0, Clear
147,Sun 10/23/16 04:25 PM,New England Patriots,Pittsburgh Steelers,63.0, Clear
148,Thu 12/22/16 08:25 PM,New York Giants,Philadelphia Eagles,41.0, Mostly Cloudy
149,Sat 12/24/16 01:00 PM,Los Angeles Chargers,Cleveland Browns,37.0, Mostly Cloudy
150,Thu 10/06/16 08:25 PM,Arizona Cardinals,San Francisco 49ers,72.0, Clear
151,Sun 10/30/16 04:25 PM,Arizona Cardinals,Carolina Panthers,80.0, Clear
152,Sat 08/20/16 09:00 PM,Kansas City Chiefs,Los Angeles Rams,71.0, Clear
153,Sun 12/18/16 04:25 PM,Oakland Raiders,Los Angeles Chargers,60.0, Clear
154,Sun 09/11/16 04:05 PM,Miami Dolphins,Seattle Seahawks,64.0, Partly Cloudy
155,Sun 01/22/17 03:05 PM,Green Bay Packers,Atlanta Falcons,,DOME
156,Sun 12/04/16 08:30 PM,Carolina Panthers,Seattle Seahawks,41.0, Mostly Cloudy
157,Sun 08/28/16 08:00 PM,Cincinnati Bengals,Jacksonville Jaguars,82.0, Partly Cloudy
158,Sun 10/02/16 01:00 PM,Buffalo Bills,New England Patriots,56.0, Overcast
159,Sun 09/18/16 04:25 PM,Jacksonville Jaguars,Los Angeles Chargers,78.0, Clear
160,Thu 08/11/16 07:30 PM,New Orleans Saints,New England Patriots,83.0, Clear
161,Sun 11/27/16 01:00 PM,Arizona Cardinals,Atlanta Falcons,,DOME
162,Thu 08/18/16 07:30 PM,Cincinnati Bengals,Detroit Lions,,DOME
163,Sun 11/06/16 04:05 PM,New Orleans Saints,San Francisco 49ers,68.0, Partly Cloudy
164,Thu 09/01/16 07:00 PM,Tennessee Titans,Miami Dolphins,85.0, Partly Cloudy
165,Sun 10/09/16 04:25 PM,Cincinnati Bengals,Dallas Cowboys,74.0, Clear
166,Sun 11/20/16 04:05 PM,Miami Dolphins,Los Angeles Rams,63.0, Partly Cloudy
167,Sun 10/02/16 04:25 PM,Dallas Cowboys,San Francisco 49ers,68.0, Partly Cloudy
168,Sat 08/27/16 07:00 PM,Philadelphia Eagles,Indianapolis Colts,,DOME
169,Sun 10/30/16 09:30 AM,Washington Redskins,Cincinnati Bengals,52.0, Mostly Cloudy
170,Sun 10/30/16 04:05 PM,Los Angeles Chargers,Denver Broncos,75.0, Mostly Cloudy
171,Sun 11/13/16 01:00 PM,Atlanta Falcons,Philadelphia Eagles,54.0, Clear
172,Sun 11/27/16 01:00 PM,Los Angeles Chargers,Houston Texans,67.0, Clear
173,Sun 12/11/16 01:00 PM,Arizona Cardinals,Miami Dolphins,75.0, Partly Cloudy
174,Wed 08/31/16 08:00 PM,Washington Redskins,Tampa Bay Buccaneers,75.0, Rain
175,Sun 10/09/16 01:00 PM,Houston Texans,Minnesota Vikings,,DOME
176,Sun 11/27/16 01:00 PM,Jacksonville Jaguars,Buffalo Bills,38.0, Mostly Cloudy
177,Sun 01/01/17 01:00 PM,Houston Texans,Tennessee Titans,49.0, Mostly Cloudy
178,Thu 09/01/16 10:00 PM,San Francisco 49ers,Los Angeles Chargers,69.0, Clear
179,Sun 02/05/17 06:30 PM,New England Patriots,Atlanta Falcons,75.0, Mostly Cloudy
180,Sun 09/18/16 01:00 PM,Miami Dolphins,New England Patriots,78.0, Partly Cloudy
181,Sat 12/24/16 01:00 PM,Washington Redskins,Chicago Bears,35.0, Mostly Cloudy
182,Sun 08/28/16 01:00 PM,Los Angeles Chargers,Minnesota Vikings,,DOME
183,Sun 09/18/16 01:00 PM,Baltimore Ravens,Cleveland Browns,75.0, Partly Cloudy
184,Sun 10/23/16 01:00 PM,New Orleans Saints,Kansas City Chiefs,69.0, Clear
185,Thu 08/18/16 08:00 PM,Atlanta Falcons,Cleveland Browns,76.0, Clear
186,Thu 08/18/16 08:00 PM,Oakland Raiders,Green Bay Packers,80.0, Clear
187,Sun 10/23/16 04:05 PM,Los Angeles Chargers,Atlanta Falcons,,DOME
188,Sun 01/01/17 01:00 PM,Jacksonville Jaguars,Indianapolis Colts,,DOME
189,Sun 09/25/16 04:25 PM,Los Angeles Chargers,Indianapolis Colts,,DOME
190,Fri 08/26/16 08:00 PM,Pittsburgh Steelers,New Orleans Saints,,DOME
191,Sun 12/18/16 01:00 PM,Tennessee Titans,Kansas City Chiefs,2.0, Clear
192,Sun 12/18/16 04:25 PM,New England Patriots,Denver Broncos,27.0, Clear
193,Mon 10/10/16 08:30 PM,Tampa Bay Buccaneers,Carolina Panthers,57.0, Clear
194,Sun 12/04/16 04:25 PM,Washington Redskins,Arizona Cardinals,,DOME
195,Sun 10/09/16 01:00 PM,New York Jets,Pittsburgh Steelers,57.0, Partly Cloudy
196,Sat 08/27/16 09:00 PM,Los Angeles Rams,Denver Broncos,76.0, Mostly Cloudy
197,Thu 12/08/16 08:25 PM,Oakland Raiders,Kansas City Chiefs,23.0, Clear
198,Sun 09/18/16 01:00 PM,Dallas Cowboys,Washington Redskins,84.0, Clear
199,Sat 12/24/16 04:05 PM,Indianapolis Colts,Oakland Raiders,48.0, Clear
200,Sat 08/27/16 07:00 PM,Detroit Lions,Baltimore Ravens,85.0, Clear
201,Sun 01/08/17 04:40 PM,New York Giants,Green Bay Packers,13.0, Partly Cloudy
202,Sun 11/20/16 01:00 PM,Arizona Cardinals,Minnesota Vikings,,DOME
203,Sun 11/13/16 01:00 PM,Kansas City Chiefs,Carolina Panthers,48.0, Partly Cloudy
204,Sun 01/01/17 04:25 PM,Oakland Raiders,Denver Broncos,48.0, Partly Cloudy
205,Sun 10/16/16 01:00 PM,Jacksonville Jaguars,Chicago Bears,67.0, Overcast
206,Sun 12/04/16 01:00 PM,Houston Texans,Green Bay Packers,31.0, Snow
207,Thu 10/13/16 08:25 PM,Denver Broncos,Los Angeles Chargers,69.0, Clear
208,Sun 10/16/16 01:00 PM,Philadelphia Eagles,Washington Redskins,69.0, Clear
209,Sun 12/04/16 01:00 PM,San Francisco 49ers,Chicago Bears,35.0, Light Rain
210,Sun 12/04/16 04:25 PM,New York Giants,Pittsburgh Steelers,40.0, Partly Cloudy
211,Thu 08/11/16 07:30 PM,Carolina Panthers,Baltimore Ravens,89.0, Clear
212,Sun 11/06/16 01:00 PM,Detroit Lions,Minnesota Vikings,,DOME
213,Sun 09/25/16 01:00 PM,Washington Redskins,New York Giants,67.0, Clear
214,Sun 09/18/16 01:00 PM,Cincinnati Bengals,Pittsburgh Steelers,71.0, Humid and Mostly Cloudy
215,Sun 10/09/16 01:00 PM,Tennessee Titans,Miami Dolphins,87.0, Clear
216,Sun 12/25/16 08:30 PM,Denver Broncos,Kansas City Chiefs,60.0, Heavy Rain
217,Sun 12/11/16 01:00 PM,Pittsburgh Steelers,Buffalo Bills,24.0, Snow
218,Sun 09/18/16 04:25 PM,Atlanta Falcons,Oakland Raiders,83.0, Clear
219,Sat 12/24/16 01:00 PM,Atlanta Falcons,Carolina Panthers,52.0, Partly Cloudy
220,Sun 01/01/17 01:00 PM,Cleveland Browns,Pittsburgh Steelers,38.0, Clear
221,Sun 10/23/16 01:00 PM,Washington Redskins,Detroit Lions,,DOME
222,Sun 10/09/16 04:05 PM,Atlanta Falcons,Denver Broncos,73.0, Mostly Cloudy
223,Sun 10/02/16 01:00 PM,Tennessee Titans,Houston Texans,82.0, Clear
224,Sun 09/25/16 04:05 PM,San Francisco 49ers,Seattle Seahawks,69.0, Partly Cloudy
225,Thu 11/24/16 08:30 PM,Pittsburgh Steelers,Indianapolis Colts,,DOME
226,Sun 10/23/16 01:00 PM,Minnesota Vikings,Philadelphia Eagles,61.0, Mostly Cloudy
227,Sat 12/24/16 01:00 PM,Tennessee Titans,Jacksonville Jaguars,65.0, Mostly Cloudy
228,Sun 11/27/16 04:05 PM,Seattle Seahawks,Tampa Bay Buccaneers,78.0, Partly Cloudy
229,Sun 09/18/16 04:05 PM,Tampa Bay Buccaneers,Arizona Cardinals,,DOME
230,Thu 11/24/16 04:30 PM,Washington Redskins,Dallas Cowboys,69.0, Clear
231,Sun 12/11/16 04:25 PM,Seattle Seahawks,Green Bay Packers,27.0, Mostly Cloudy
232,Thu 09/15/16 08:25 PM,New York Jets,Buffalo Bills,54.0, Clear
233,Sun 01/01/17 01:00 PM,New England Patriots,Miami Dolphins,80.0, Mostly Cloudy
234,Sat 08/20/16 07:00 PM,Baltimore Ravens,Indianapolis Colts,,DOME
235,Sun 11/06/16 01:00 PM,Philadelphia Eagles,New York Giants,57.0, Clear
236,Mon 12/19/16 08:30 PM,Carolina Panthers,Washington Redskins,30.0, Partly Cloudy
237,Sun 09/25/16 01:00 PM,Denver Broncos,Cincinnati Bengals,82.0, Clear
238,Sun 01/01/17 04:25 PM,New Orleans Saints,Atlanta Falcons,,DOME
239,Sun 01/01/17 01:00 PM,Carolina Panthers,Tampa Bay Buccaneers,76.0, Clear
240,Sun 12/11/16 01:00 PM,Cincinnati Bengals,Cleveland Browns,28.0, Light Snow
241,Sun 09/25/16 01:00 PM,Detroit Lions,Green Bay Packers,72.0, Mostly Cloudy
242,Sun 10/30/16 01:00 PM,Kansas City Chiefs,Indianapolis Colts,,DOME
243,Sun 11/27/16 01:00 PM,Tennessee Titans,Chicago Bears,38.0, Foggy
244,Thu 09/01/16 07:30 PM,Pittsburgh Steelers,Carolina Panthers,73.0, Light Rain
245,Sun 10/09/16 04:25 PM,Buffalo Bills,Los Angeles Rams,87.0, Clear
246,Sun 09/25/16 04:25 PM,Pittsburgh Steelers,Philadelphia Eagles,71.0, Clear
247,Thu 08/11/16 07:30 PM,Jacksonville Jaguars,New York Jets,85.0, Partly Cloudy
248,Sun 09/25/16 01:00 PM,Baltimore Ravens,Jacksonville Jaguars,87.0, Partly Cloudy
249,Sun 11/20/16 01:00 PM,Pittsburgh Steelers,Cleveland Browns,35.0, Overcast
250,Sun 11/13/16 01:00 PM,Denver Broncos,New Orleans Saints,,DOME
251,Sun 10/30/16 01:00 PM,Detroit Lions,Houston Texans,80.0, Clear
252,Sun 10/02/16 09:30 AM,Indianapolis Colts,Jacksonville Jaguars,58.0, Partly Cloudy
253,Thu 09/01/16 08:00 PM,Los Angeles Rams,Minnesota Vikings,,DOME
254,Sat 08/27/16 08:00 PM,Tennessee Titans,Oakland Raiders,69.0, Clear
255,Mon 11/14/16 08:30 PM,Cincinnati Bengals,New York Giants,54.0, Overcast
256,Sun 12/11/16 04:05 PM,New York Jets,San Francisco 49ers,53.0, Partly Cloudy
257,Sun 12/04/16 01:00 PM,Detroit Lions,New Orleans Saints,,DOME
258,Sun 11/13/16 08:30 PM,Seattle Seahawks,New England Patriots,45.0, Clear
259,Sun 10/02/16 04:05 PM,Denver Broncos,Tampa Bay Buccaneers,89.0, Drizzle
260,Sun 10/02/16 04:25 PM,New Orleans Saints,Los Angeles Chargers,73.0, Clear
261,Thu 11/24/16 12:30 PM,Minnesota Vikings,Detroit Lions,,DOME
262,Sun 10/30/16 08:30 PM,Philadelphia Eagles,Dallas Cowboys,78.0, Clear
263,Sun 01/01/17 04:25 PM,Seattle Seahawks,San Francisco 49ers,52.0, Partly Cloudy
264,Thu 08/25/16 10:00 PM,Dallas Cowboys,Seattle Seahawks,82.0, Clear
265,Sat 08/20/16 09:00 PM,San Francisco 49ers,Denver Broncos,72.0, Clear
266,Sun 09/11/16 08:30 PM,New England Patriots,Arizona Cardinals,,DOME
267,Sun 10/23/16 08:30 PM,Seattle Seahawks,Arizona Cardinals,,DOME
268,Sun 10/16/16 01:00 PM,Cleveland Browns,Tennessee Titans,79.0, Partly Cloudy
269,Sun 01/08/17 01:05 PM,Miami Dolphins,Pittsburgh Steelers,14.0, Partly Cloudy
270,Sun 11/20/16 01:00 PM,Tampa Bay Buccaneers,Kansas City Chiefs,43.0, Partly Cloudy
271,Mon 11/28/16 08:30 PM,Green Bay Packers,Philadelphia Eagles,47.0, Partly Cloudy
272,Sun 09/25/16 08:30 PM,Chicago Bears,Dallas Cowboys,75.0, Humid and Mostly Cloudy
273,Sat 12/24/16 01:00 PM,Minnesota Vikings,Green Bay Packers,35.0, Mostly Cloudy
274,Sun 12/18/16 01:00 PM,Green Bay Packers,Chicago Bears,9.0, Partly Cloudy
275,Sun 09/11/16 01:00 PM,Buffalo Bills,Baltimore Ravens,82.0, Partly Cloudy
276,Sun 10/30/16 04:25 PM,Green Bay Packers,Atlanta Falcons,,DOME
277,Thu 09/01/16 08:00 PM,Houston Texans,Dallas Cowboys,80.0, Clear
278,Sun 10/23/16 04:05 PM,Tampa Bay Buccaneers,San Francisco 49ers,69.0, Clear
279,Thu 09/01/16 09:30 PM,Denver Broncos,Arizona Cardinals,,DOME
280,Sun 10/30/16 01:00 PM,Oakland Raiders,Tampa Bay Buccaneers,84.0, Clear
281,Sun 10/23/16 01:00 PM,Cleveland Browns,Cincinnati Bengals,66.0, Clear
282,Sun 12/11/16 04:25 PM,Atlanta Falcons,Los Angeles Rams,64.0, Mostly Cloudy
283,Thu 09/01/16 07:00 PM,Jacksonville Jaguars,Atlanta Falcons,,DOME
284,Sun 12/04/16 01:00 PM,Miami Dolphins,Baltimore Ravens,45.0, Clear
285,Sun 12/11/16 01:00 PM,Los Angeles Chargers,Carolina Panthers,42.0, Mostly Cloudy
286,Fri 08/12/16 10:00 PM,Oakland Raiders,Arizona Cardinals,,DOME
287,Thu 09/01/16 08:00 PM,Chicago Bears,Cleveland Browns,70.0, Clear
288,Sun 11/20/16 04:25 PM,New England Patriots,San Francisco 49ers,61.0, Light Rain
289,Sat 08/13/16 04:30 PM,Seattle Seahawks,Kansas City Chiefs,86.0, Clear
290,Sun 11/20/16 04:25 PM,Philadelphia Eagles,Seattle Seahawks,51.0, Overcast
291,Mon 11/21/16 08:30 PM,Houston Texans,Oakland Raiders,62.0, Clear
292,Sun 10/23/16 01:00 PM,Indianapolis Colts,Tennessee Titans,71.0, Clear
