,Rk,Tm,Year,Date,Time,LTime,Unnamed: 6,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds.1,Rate
5,1006,JAX,2016,2016-12-04,1:00,1:00,,DEN,13,12,Sun,L 10-20,,19,42,45.2,179,0,2,1,2,37.7
6,1007,KAN,2015,2015-12-13,1:03,12:03,,SDG,14,13,Sun,W 10-3,,15,23,65.2,179,1,1,2,12,85.2
7,1008,MIA,2019,2019-09-08,1:00,1:00,,BAL,1,1,Sun,L 10-59,,15,32,46.9,179,1,2,3,11,48.8
8,1009,NYJ,2015,2015-09-13,1:04,1:04,,CLE,1,1,Sun,W 31-10,,15,24,62.5,179,2,1,0,0,95.7
9,1010,TEN,2015,2015-10-11,1:03,12:03,,BUF,5,4,Sun,L 13-14,,21,32,65.6,179,0,1,2,8,67.1
10,1011,TEN,2015,2015-10-25,1:02,12:02,,ATL,7,6,Sun,L 7-10,,22,35,62.9,179,1,2,1,8,61.5
11,1012,OAK,2016,2016-11-06,8:30,5:30,,DEN,9,9,Sun,W 30-20,,20,31,64.5,179,0,0,2,5,79.9
12,1013,SDG,2015,2015-12-06,4:05,1:05,,DEN,13,12,Sun,L 3-17,,18,35,51.4,179,0,1,4,23,54.3
13,1014,CAR,2015,2015-09-20,1:02,1:02,,HOU,2,2,Sun,W 24-17,,18,37,48.6,178,2,1,2,17,69.4
14,1015,CAR,2017,2017-09-17,1:00,1:00,,BUF,2,2,Sun,W 9-3,,20,32,62.5,178,0,0,6,50,77.3
15,1016,TEN,2015,2015-11-15,1:03,12:03,,CAR,10,9,Sun,L 10-27,,16,24,66.7,178,0,1,1,7,71.2
16,1017,PIT,2019,2019-12-15,8:20,8:20,,BUF,15,14,Sun,L 10-17,,23,38,60.5,178,1,4,4,24,41.2
17,1018,OAK,2019,2019-09-15,4:05,1:05,,KAN,2,2,Sun,L 10-28,,23,38,60.5,178,1,2,3,20,58.9
18,1019,CLE,2015,2016-01-03,1:02,1:02,,PIT,17,16,Sun,L 12-28,,24,46,52.2,177,0,2,7,63,43.5
19,1020,CLE,2016,2016-11-06,1:00,1:00,,DAL,9,9,Sun,L 10-35,,19,27,70.4,177,1,0,4,26,100.4
21,1021,SFO,2016,2016-11-20,4:25,1:25,,NWE,11,10,Sun,L 17-30,,16,30,53.3,177,2,0,5,29,93.3
22,1022,CHI,2017,2017-09-10,1:00,12:00,,ATL,1,1,Sun,L 17-23,,26,40,65.0,176,1,0,4,37,82.9
23,1023,CHI,2017,2017-11-19,1:00,12:00,,DET,11,10,Sun,L 24-27,,18,30,60.0,176,1,0,1,3,87.6
24,1024,CLE,2016,2016-11-20,1:00,1:00,,PIT,11,11,Sun,L 9-24,,21,41,51.2,176,1,1,8,70,60.6
25,1025,DAL,2015,2015-12-19,8:26,7:26,,NYJ,15,14,Sat,L 16-19,,18,33,54.5,176,1,4,2,19,40.3
26,1026,TAM,2015,2015-12-13,1:02,1:02,,NOR,14,13,Sun,L 17-24,,18,32,56.3,176,1,0,1,6,82.3
27,1027,CLE,2019,2019-09-22,8:20,8:20,,LAR,3,3,Sun,L 13-20,,18,36,50.0,175,1,1,3,20,61.7
28,1028,DEN,2019,2019-11-03,4:25,2:25,,CLE,9,9,Sun,W 24-19,,12,20,60.0,175,2,0,3,18,121.9
29,1029,JAX,2015,2015-10-25,8:35,1:35,,BUF,7,7,Sun,W 34-31,,13,29,44.8,175,2,1,2,7,73.2
30,1030,OAK,2015,2015-12-24,8:26,5:26,,SDG,16,15,Thu,W 23-20,OT,23,38,60.5,175,1,1,3,29,69.5
31,1031,WAS,2018,2018-10-21,4:25,4:25,,DAL,7,6,Sun,W 20-17,,14,25,56.0,175,1,0,1,3,91.2
32,1032,CIN,2018,2018-11-11,1:00,1:00,,NOR,10,9,Sun,L 14-51,,14,23,60.9,174,1,2,4,24,62.6
33,1033,KAN,2019,2019-12-29,1:00,12:00,,LAC,17,16,Sun,W 31-21,,16,25,64.0,174,1,1,0,0,81.1
34,1034,MIN,2019,2019-09-22,1:00,3:00,,OAK,3,3,Sun,W 34-14,,15,21,71.4,174,1,0,0,0,112.0
35,1035,NYJ,2019,2019-12-22,1:00,1:00,,PIT,16,15,Sun,W 16-10,,16,26,61.5,174,1,0,2,9,94.1
36,1036,TEN,2019,2019-10-27,1:00,12:00,,TAM,8,8,Sun,W 27-23,,21,33,63.6,174,3,0,3,19,107.4
37,1037,PHI,2019,2019-11-17,4:25,4:25,,NWE,11,10,Sun,L 10-17,,20,40,50.0,174,1,0,5,40,70.2
38,1038,BAL,2018,2018-11-25,1:00,1:00,,OAK,12,11,Sun,W 34-17,,14,25,56.0,174,1,2,1,4,57.7
39,1039,TAM,2018,2018-12-09,1:00,1:00,,NOR,14,13,Sun,L 14-28,,18,38,47.4,174,2,1,4,39,67.2
40,1040,TAM,2019,2019-09-08,4:25,4:25,,SFO,1,1,Sun,L 17-31,,20,36,55.6,174,1,3,3,20,43.1
42,1041,ATL,2017,2017-12-03,1:00,1:00,,MIN,13,12,Sun,L 9-14,,16,29,55.2,173,0,0,0,0,72.9
43,1042,CAR,2016,2016-11-17,8:25,8:25,,NOR,11,10,Thu,W 23-20,,14,33,42.4,173,1,0,2,19,69.4
44,1043,LAR,2019,2019-11-17,8:20,5:20,,CHI,11,10,Sun,W 17-7,,11,18,61.1,173,0,1,0,0,69.9
45,1044,BUF,2015,2015-12-27,1:02,1:02,,DAL,16,15,Sun,W 16-6,,13,18,72.2,172,0,1,3,7,78.9
46,1045,IND,2016,2016-10-30,1:02,1:02,,KAN,8,8,Sun,L 14-30,,19,35,54.3,172,2,1,6,38,74.9
47,1046,DAL,2018,2018-10-14,4:25,3:25,,JAX,6,6,Sun,W 40-7,,17,27,63.0,172,2,0,3,11,105.8
48,1047,BUF,2016,2016-12-18,1:00,1:00,,CLE,15,14,Sun,W 33-13,,17,25,68.0,171,1,0,1,3,100.6
49,1048,ARI,2018,2018-09-30,4:05,2:05,,SEA,4,4,Sun,L 17-20,,15,27,55.6,171,1,0,1,9,87.1
50,1049,NYG,2019,2019-11-04,8:15,8:15,,DAL,9,9,Mon,L 18-37,,26,41,63.4,171,1,1,5,39,70.3
51,1050,OAK,2017,2017-12-17,8:30,5:30,,DAL,15,14,Sun,L 17-20,,21,38,55.3,171,2,0,0,0,84.4
52,1051,SFO,2019,2019-10-07,8:15,5:15,,CLE,5,4,Mon,W 31-3,,20,29,69.0,171,2,0,2,10,107.1
53,1052,WAS,2019,2019-11-17,1:00,1:00,,NYJ,11,10,Sun,L 17-34,,19,35,54.3,171,2,1,6,43,74.8
54,1053,CLE,2017,2017-10-01,1:00,1:00,,CIN,4,4,Sun,L 7-31,,21,42,50.0,170,0,1,2,13,50.7
55,1054,DET,2018,2018-10-07,1:00,1:00,,GNB,5,5,Sun,W 31-23,,14,26,53.8,170,2,0,3,13,99.8
56,1055,KAN,2015,2015-10-11,1:02,12:02,,CHI,5,5,Sun,L 17-18,,16,30,53.3,170,1,0,3,11,81.2
57,1056,SFO,2016,2016-09-12,10:20,7:20,,LAR,1,1,Mon,W 28-0,,22,35,62.9,170,1,0,0,0,84.2
58,1057,GNB,2017,2017-09-28,8:25,7:25,,CHI,4,4,Thu,W 35-14,,19,27,70.4,169,4,0,2,10,126.4
59,1058,JAX,2015,2015-09-13,1:03,1:03,,CAR,1,1,Sun,L 9-20,,22,40,55.0,169,1,2,5,14,53.0
60,1059,KAN,2016,2016-11-06,1:00,12:00,,JAX,9,8,Sun,W 19-14,,20,33,60.6,169,1,0,2,18,84.0
61,1060,NYJ,2019,2019-09-16,8:15,8:15,,CLE,2,2,Mon,L 3-23,,23,31,74.2,169,0,0,4,32,86.6
63,1061,PIT,2015,2015-10-18,1:04,1:04,,ARI,6,6,Sun,W 25-13,,11,20,55.0,169,2,0,1,5,116.5
64,1062,ARI,2018,2018-09-23,4:25,2:25,,CHI,3,3,Sun,L 14-16,,17,26,65.4,168,2,3,4,25,69.6
65,1063,DAL,2017,2017-11-23,4:30,3:30,,LAC,12,11,Thu,L 6-28,,20,27,74.1,168,0,2,2,11,58.9
66,1064,DEN,2019,2019-12-29,4:25,2:25,,OAK,17,16,Sun,W 16-15,,17,28,60.7,168,1,0,2,9,89.6
67,1065,JAX,2016,2016-09-25,1:02,1:02,,BAL,3,3,Sun,L 17-19,,24,38,63.2,168,2,3,4,26,57.8
68,1066,PHI,2016,2016-12-22,8:25,8:25,,NYG,16,15,Thu,W 24-19,,14,25,56.0,168,1,1,0,0,73.4
69,1067,TAM,2016,2016-10-30,1:02,1:02,,OAK,8,7,Sun,L 24-30,OT,16,32,50.0,168,2,0,2,12,86.5
70,1068,DEN,2019,2019-10-13,4:25,2:25,,TEN,6,6,Sun,W 16-0,,18,28,64.3,167,0,1,1,10,65.6
71,1069,GNB,2019,2019-12-08,1:00,12:00,,WAS,14,13,Sun,W 20-15,,18,28,64.3,167,1,0,4,28,92.4
72,1070,KAN,2015,2015-09-17,8:29,7:29,,DEN,2,2,Thu,L 24-31,,16,25,64.0,167,0,2,5,24,49.9
73,1071,MIA,2015,2015-10-04,9:37,2:37,,NYJ,4,4,Sun,L 14-27,,19,44,43.2,167,2,2,3,31,50.1
74,1072,NYG,2016,2016-12-11,8:30,8:30,,DAL,14,13,Sun,W 10-7,,17,28,60.7,167,1,1,3,26,74.6
75,1073,BAL,2018,2018-12-30,4:25,1:00,,CLE,17,16,Sun,W 26-24,,14,24,58.3,167,0,0,2,12,79.7
76,1074,BUF,2018,2018-11-04,1:00,1:00,,CHI,9,9,Sun,L 9-41,,31,49,63.3,166,0,3,4,22,43.4
77,1075,BAL,2017,2017-10-15,1:00,1:00,,CHI,6,6,Sun,L 24-27,OT,24,41,58.5,166,0,2,3,14,47.4
78,1076,SDG,2016,2016-10-13,8:25,5:25,,DEN,6,6,Thu,W 21-13,,18,29,62.1,166,1,0,2,12,89.2
79,1077,SFO,2017,2017-09-10,4:25,1:25,,CAR,1,1,Sun,L 3-23,,24,35,68.6,166,0,1,4,27,67.1
80,1078,TAM,2016,2016-12-11,4:25,4:25,,NOR,14,13,Sun,W 16-11,,16,26,61.5,166,0,0,2,18,80.0
81,1079,BUF,2017,2017-10-29,1:00,1:00,,OAK,8,7,Sun,W 34-14,,20,27,74.1,165,1,0,0,0,101.6
82,1080,IND,2017,2017-11-26,1:00,1:00,,TEN,12,11,Sun,L 16-20,,17,29,58.6,165,0,0,8,31,74.6
84,1081,ARI,2019,2019-12-08,4:25,2:25,,PIT,14,13,Sun,L 17-23,,20,30,66.7,165,2,3,5,29,63.2
85,1082,TEN,2018,2018-12-30,8:20,12:00,,IND,17,16,Sun,L 17-33,,18,29,62.1,165,1,2,0,0,60.3
86,1083,OAK,2017,2017-10-15,4:25,1:25,,LAC,6,6,Sun,L 16-17,,21,30,70.0,165,1,2,1,6,66.7
87,1084,SFO,2015,2015-09-14,10:20,7:20,,MIN,1,1,Mon,W 20-3,,17,26,65.4,165,0,0,1,0,83.0
88,1085,CIN,2017,2017-12-10,1:00,1:00,,CHI,14,13,Sun,L 7-33,,18,37,48.6,164,1,1,3,24,58.8
89,1086,DET,2016,2016-10-09,1:02,1:02,,PHI,5,5,Sun,W 24-23,,19,25,76.0,164,3,0,4,16,132.3
90,1087,HOU,2016,2016-10-30,1:03,12:03,,DET,8,8,Sun,W 20-13,,20,29,69.0,164,1,1,3,22,80.2
91,1088,JAX,2019,2019-12-08,4:05,4:05,,LAC,14,13,Sun,L 10-45,,25,38,65.8,164,1,0,2,7,83.7
92,1089,DAL,2015,2015-10-11,4:25,3:25,,NWE,5,5,Sun,L 6-30,,26,39,66.7,163,0,1,3,24,64.4
93,1090,KAN,2019,2019-12-01,4:25,3:25,,OAK,13,12,Sun,W 40-9,,15,29,51.7,163,1,0,1,12,80.1
94,1091,SEA,2018,2018-12-02,4:25,1:25,,SFO,13,12,Sun,W 43-16,,11,17,64.7,163,4,0,3,22,135.5
95,1092,GNB,2018,2018-12-09,1:00,12:00,,ATL,14,13,Sun,W 34-20,,21,32,65.6,162,2,0,4,34,98.7
96,1093,NOR,2018,2018-11-22,8:20,7:20,,ATL,12,11,Thu,W 31-17,,15,22,68.2,162,4,1,2,9,110.2
97,1094,TEN,2018,2018-12-06,8:20,7:20,,JAX,14,13,Thu,W 30-9,,18,24,75.0,162,0,1,1,0,75.3
98,1095,BAL,2019,2019-11-03,8:20,8:20,,NWE,9,8,Sun,W 37-20,,17,23,73.9,162,1,0,1,1,107.5
99,1096,LAC,2017,2017-10-22,4:25,1:25,,DEN,7,7,Sun,W 21-0,,15,26,57.7,162,2,0,3,21,101.8
